Dominant Race,Death Count,ZipCode,Causes of Death
White,0,91931,HYP
White,129,92543,LIV
White,231,92110,STK
Asian,29,91754,NEP
White,23,92882,NEP
White,631,95691,OTH
White,841,91042,HTD
White,1,90743,SUI
White,9,93432,INJ
White,8,96041,DIA
White,226,94903,PNF
White,7,95960,PNF
White,172,91732,PNF
White,82,93256,CAN
White,1108,95370,CAN
White,111,92870,DIA
White,215,90810,CLD
White,5,93601,LIV
White,1,94971,SUI
White,6,96028,SUI
White,24,93927,DIA
White,17,91932,HYP
White,234,92109,STK
White,145,96097,CLD
Asian,33,91755,NEP
White,5,92881,NEP
White,82,95692,OTH
Other,10,92113,NEP
White,1,96052,NEP
Black,130,90043,HOM
White,3,90742,SUI
White,159,90262,INJ
White,77,95959,PNF
White,295,92376,INJ
White,41,93255,CAN
White,95,91731,PNF
White,101,92869,DIA
White,3,94970,SUI
White,23,95369,CAN
White,6,96027,SUI
White,3,95039,CLD
White,0,95714,LIV
White,8,96096,CLD
White,9,95547,INJ
White,1,96040,DIA
White,3,96161,HYP
White,62,93433,INJ
White,28,93926,DIA
White,12,90755,DIA
White,60,92108,STK
White,3,95041,CLD
White,29,94043,HYP
Other,14,90058,PNF
White,116,95693,OTH
White,6,93036,HOM
White,1,96051,NEP
Black,310,90044,HOM
White,11,92880,NEP
White,1069,92101,HTD
White,118,91320,INJ
White,66,92377,INJ
White,38,93258,CAN
White,55,95372,CAN
White,19,95713,LIV
White,9,95962,PNF
White,22,95548,INJ
White,5,96039,DIA
White,1245,92201,CAN
White,68,92868,DIA
White,18,93434,INJ
White,1,93925,DIA
White,181,92107,STK
White,26,94044,HYP
Other,179,90057,PNF
White,130,95694,OTH
Asian,9,92620,LIV
White,0,96050,NEP
White,92,91733,PNF
White,62,90740,SUI
White,902,92102,HTD
White,15,92879,NEP
White,45,94904,PNF
White,1,92378,INJ
White,1491,93257,CAN
White,15,93924,DIA
White,12,96025,SUI
White,119,91321,INJ
White,2,95549,INJ
White,58,95961,PNF
White,81,92867,DIA
White,210,90813,CLD
White,6,96038,DIA
White,257,90402,OTH
White,1200,95687,OTH
White,4,96033,SUI
White,176,92106,STK
White,7,91935,HYP
White,0,96057,NEP
White,17,92886,NEP
White,52,93252,CAN
White,350,95366,CAN
White,104,92707,ALZ
White,299,90806,CLD
White,84,90265,INJ
White,27,93923,DIA
White,7,92861,SUI
White,36,92866,DIA
White,242,93436,INJ
White,0,96037,DIA
White,6,96091,CLD
White,14,92548,LIV
White,8,96032,SUI
White,377,92105,STK
White,526,95688,OTH
White,411,90403,OTH
White,1,96056,NEP
Other,1153,91706,CAN
Other,39,90003,NEP
White,1,93251,CAN
White,302,90807,CLD
White,67,95365,CAN
White,1,93604,LIV
White,87,90266,INJ
White,18,95551,INJ
White,58,95963,PNF
White,53,92865,DIA
White,40,92860,SUI
White,2,96092,CLD
White,498,90404,OTH
Asian,20,91748,NEP
White,0,93920,DIA
White,115,92518,OTH
White,6,95553,INJ
American_Indian,22,95546,LIV
White,1,93040,HOM
White,2,96055,NEP
Other,119,90062,PNF
White,50,95689,OTH
White,219,92104,STK
Asian,107,91108,STK
White,299,90808,CLD
White,10,93254,CAN
White,183,95368,CAN
White,1,95552,INJ
White,13,96035,DIA
White,50,96093,CLD
White,0,93603,LIV
White,102,91324,INJ
White,10,93921,DIA
White,2,94973,SUI
White,0,95717,LIV
White,142,95966,PNF
White,46,90745,SUI
Asian,19,92655,ALZ
White,103,92544,LIV
White,406,90405,OTH
White,1,91934,HYP
White,7,95554,INJ
White,1,96054,NEP
White,6,92883,NEP
White,8,91046,STK
White,857,91040,HTD
White,334,92103,STK
Other,26,90001,NEP
White,14,93940,NEP
White,54,95690,OTH
White,52,90744,SUI
White,86,90680,PNF
White,247,92708,ALZ
White,12,93041,HOM
White,411,95367,CAN
White,189,95037,CLD
White,61,96094,CLD
White,5,93602,LIV
White,0,94972,SUI
White,0,96034,DIA
White,23,92382,INJ
White,91,92545,LIV
White,0,96029,SUI
White,117,91325,INJ
White,43,91737,PNF
White,88,95965,PNF
White,17,92861,DIA
White,42,93923,SUI
White,242,95969,PNF
White,18,96104,CLD
White,104,95683,OTH
White,2,96037,SUI
White,4,95555,INJ
White,6,96032,DIA
Asian,299,91801,PNF
White,1,93441,INJ
White,24,92866,SUI
White,230,92102,STK
White,24,94103,HOM
White,2,93609,LIV
White,8,93440,INJ
White,64,90605,ALZ
White,64,95111,HYP
White,0,96033,DIA
White,672,92107,HTD
White,80,91326,INJ
White,7,95968,PNF
White,137,91740,PNF
White,240,95377,CAN
White,6,95556,INJ
White,69,95684,OTH
White,25,92865,SUI
White,62,92860,DIA
White,100,93442,INJ
Other,12,90007,NEP
White,150,92101,STK
White,3,96105,CLD
White,0,94104,HOM
White,9,95722,LIV
White,7,93930,NEP
White,1,96044,NEP
White,349,92108,HTD
White,30,92551,LIV
White,57,95112,HYP
White,0,93608,LIV
White,44,90270,INJ
White,91,90604,ALZ
White,297,93263,CAN
White,27,91739,PNF
White,58,91941,HYP
White,21,92386,INJ
White,18,93266,CAN
White,7,93921,SUI
White,29,95971,PNF
White,965,95380,CAN
White,152,95685,OTH
White,7,96035,SUI
Asian,158,91803,PNF
White,252,90745,DIA
White,2,94973,DIA
Other,9,90006,NEP
White,3,96106,CLD
Asian,22,90703,NEP
White,1080,92109,HTD
White,2,93920,SUI
White,136,93265,CAN
White,0,94972,DIA
White,106,90401,OTH
White,2,96034,SUI
White,235,94501,INJ
White,4,95558,INJ
White,3,95970,PNF
White,136,95379,CAN
White,17,95686,OTH
White,82,93444,INJ
White,2,90822,CLD
White,0,96029,DIA
White,150,91042,STK
White,183,90744,DIA
Other,9,90005,NEP
White,181,95050,CLD
White,1,96107,CLD
White,50,94102,HOM
White,4,92549,LIV
White,102,91741,PNF
White,14,95110,HYP
White,36,90094,CAN
White,87,90606,ALZ
White,883,92110,HTD
White,2,93606,LIV
White,87,90272,INJ
White,82,90274,INJ
White,0,94971,DIA
White,1,95559,INJ
White,5,96028,DIA
White,44,93445,INJ
White,307,91331,INJ
