Median Age,Zip Code
44.5,1001
23.4,1002
34.9,1013
62.8,1258
46.5,4348
34.3,31532
37.3,31533
30.8,31535
41.1,31537
36.3,31539
32.7,31542
31.9,31543
57.4,31544
36.0,31545
40.3,31546
48.4,4349
21.4,31547
31.3,31548
46.6,31549
41.8,31550
44.2,31551
33.3,31552
44.8,31553
37.0,31554
41.3,31555
7.9,31556
45.9,4350
40.9,31557
29.5,31558
36.9,31560
63.2,31561
33.4,31562
44.8,31563
47.9,31565
36.8,31566
45.3,31567
56.8,31568
47.3,4351
41.5,31569
27.6,31601
29.7,31602
28.9,31605
36.2,31606
38.1,31620
35.9,31622
52.2,31623
41.1,31624
42.0,31625
45.0,4352
43.9,31626
36.6,31627
47.3,31629
25.9,31630
44.3,31631
35.5,31632
37.2,31634
32.6,31635
37.0,31636
41.0,31637
44.9,4353
32.8,31638
42.7,31639
38.6,31641
34.6,31642
40.5,31643
30.7,31645
32.3,31647
31.5,31648
35.6,31649
34.1,31650
43.3,4354
18.9,31698
22.2,31699
35.3,31701
31.8,31705
34.2,31707
31.0,31709
46.4,31711
51.2,31712
37.9,31714
37.6,31716
47.2,4355
34.1,31719
34.4,31720
38.1,31721
41.6,31722
38.5,31730
48.9,31733
39.4,31735
35.2,31738
33.3,31743
35.1,31744
48.1,4357
64.1,31747
33.4,31749
38.4,31750
43.8,31756
38.6,31757
36.8,31763
47.1,31764
40.8,31765
35.6,31768
37.8,31771
43.8,4358
41.8,31772
47.2,31773
37.8,31774
34.8,31775
48.8,31778
37.2,31779
48.7,31780
42.7,31781
48.1,31783
32.1,31784
54.2,1259
46.8,4359
43.5,31787
31.9,31788
44.9,31789
38.2,31790
39.3,31791
39.6,31792
29.0,31793
37.2,31794
33.8,31795
55.2,31796
51.0,4360
42.1,31798
49.8,31801
39.3,31803
43.2,31804
44.2,31805
39.6,31806
38.7,31807
42.2,31808
58.3,31810
45.1,31811
42.1,4363
52.2,31812
49.8,31814
36.0,31815
33.9,31816
39.2,31820
31.5,31821
43.3,31822
27.5,31823
38.6,31824
46.5,31825
45.5,4364
41.7,31826
43.0,31827
44.9,31829
36.9,31830
46.5,31831
49.3,31832
39.1,31833
55.8,31836
34.0,31901
32.3,31903
36.9,4401
37.4,31904
21.2,31905
37.4,31906
34.6,31907
32.6,31909
41.9,32003
48.3,32008
39.7,32009
41.2,32011
39.4,32024
49.9,4406
37.5,32025
34.2,32026
43.7,32033
51.1,32034
46.7,32038
38.3,32040
42.1,32043
40.2,32044
39.8,32046
38.9,32052
42.5,4408
44.7,32053
40.1,32054
41.3,32055
40.5,32058
39.2,32059
41.7,32060
17.7,32061
49.2,32062
38.2,32063
33.9,32064
44.5,4410
33.7,32065
34.7,32066
37.0,32068
39.7,32071
58.5,32072
40.3,32073
79.1,32079
53.5,32080
