Zipcode,Median Household Income
1001,60161
1002,50540
1013,40774
1258,66198
4348,53164
4349,56801
4350,57935
4351,68333
4352,53917
4353,47805
4354,48203
4355,68750
4357,54515
4358,43837
1259,63750
4359,38618
4360,46875
4363,47566
4364,62718
4401,40307
4406,42292
4408,46563
4410,41850
4411,45192
4412,51944
1260,74844
4413,43516
4414,32292
4415,35938
4416,38371
4417,39375
4418,42500
4419,55976
4421,42917
4422,51000
4424,31000
1262,41400
4426,42557
4427,46161
4428,50721
4429,59221
4430,37713
4431,46250
4434,48750
4435,39697
4438,38594
4441,43750
1264,76250
4442,
4443,35096
4444,72520
4448,38750
4449,51985
4450,41293
4451,27361
4453,41042
4454,18125
4455,48672
1266,79188
4456,52594
4457,41438
4459,28750
4460,43333
4461,52136
4462,31725
4463,31890
4464,32734
4468,33461
4469,
1267,73112
4471,39167
4472,55224
4473,41702
4474,55230
4475,33875
4476,43359
4478,37188
4479,27560
4481,46071
4485,45833
1270,71250
4487,30500
4488,51458
4489,76196
4490,39167
4491,27500
4492,27361
4493,41750
4495,37137
4496,55381
4497,31528
1301,49778
4530,44101
4535,60278
4537,56250
4538,42366
4539,55536
4541,
4543,45263
4544,59722
4547,51938
4548,49583
1330,75417
4551,60313
4553,60966
4554,42917
4555,52417
4556,55208
4558,
4562,60962
4563,46458
4564,74167
4568,47083
1020,55665
1331,51849
4570,
4571,53056
4572,43083
4573,60167
4574,48875
4575,235104
4576,50833
4578,43669
4579,68843
4605,47258
1337,62965
4606,44828
4607,44074
4609,46812
4611,33750
4612,45735
4613,44107
4614,52162
4616,50714
4617,66477
4619,33906
1338,71375
4622,40483
4623,43125
4624,24444
4625,41667
4626,45179
4627,42083
4628,41667
4629,30785
4630,42885
4631,32188
1339,54938
4634,37917
4635,66250
4637,43333
4640,41404
4642,83036
4643,43409
4644,
4645,40750
4646,61250
4648,35833
1340,50250
4649,32961
4650,56667
4652,37083
4653,32500
4654,37500
4655,48654
4657,45417
4658,33816
4660,66635
4662,51958
1341,77778
4664,40795
4666,36979
4667,38462
4668,26250
4669,53000
4671,53750
4673,37500
4674,46974
4675,87721
4676,35750
1342,101598
4677,47750
4679,46518
4680,36343
4681,42083
4683,
4684,53594
4685,53438
4686,26750
4691,53393
4693,38542
1343,82344
