ZIP Code,sum_death_count
92211,4350
95382,3461
93268,2319
92343,35
93664,42
94589,3850
93532,255
95514,5
92740,5
93665,17
95118,2583
93004,2828
94061,3689
92210,875
95381,6
93267,560
92342,834
95249,923
93663,5
95645,131
94588,1568
92606,697
93531,35
93003,7025
95117,2299
94060,126
92078,3308
92081,1447
93270,473
95252,1295
92345,8642
95648,4051
94591,5418
93534,5596
93402,2084
92610,287
93667,284
95120,2439
94063,1813
95913,13
91024,1281
95383,538
90230,3512
95251,69
92344,584
94590,4974
93401,3663
95912,314
93666,19
95119,573
94062,2689
96044,221
93930,949
93272,242
92083,3939
95254,70
95122,2911
94065,558
93536,5404
92347,249
95386,865
92612,2158
93669,29
90630,4334
95651,62
96047,139
93933,1830
92082,1725
93271,343
95253,10
90232,1613
95121,2330
94592,5
93535,5976
92346,4937
95385,12
93668,99
95650,1390
96046,10
93932,38
91950,5570
95914,155
93010,5460
95124,4210
95388,954
93274,6385
95653,36
94596,2815
92614,1024
95521,1845
95917,396
95255,403
92084,5334
95123,4134
94066,3898
95519,1942
93405,1587
95387,41
91423,3084
94595,6999
95652,17
90631,6435
96048,118
95916,267
95126,2277
93012,4187
96051,230
91030,2136
93276,9
95258,393
95655,109
94598,3473
90502,2201
93409,176
95919,279
92880,1654
93673,38
95125,6204
92086,229
96050,60
95389,10
95257,72
94597,1279
90501,3403
95918,258
92879,3179
95128,3869
92882,4020
93543,1264
92354,3045
95525,220
90504,3307
92618,552
93675,546
92881,1597
95127,4408
94070,3032
93013,1758
96052,290
95391,126
93277,6530
92220,6013
92352,720
94599,2097
95656,72
95524,191
90503,4877
92617,52
96055,695
93280,1473
92091,158
95130,983
92223,3902
90242,3503
95527,42
92356,1132
92620,1872
90638,5477
95659,85
94602,3106
93545,369
92883,1215
96054,36
93940,4274
93015,1577
95922,111
92222,16
90240,2559
95129,2858
93544,213
90241,4258
92355,7
95526,104
90505,4376
94601,4734
95658,800
95925,33
92886,3816
95132,2613
96057,273
91301,1828
92358,133
93283,589
95661,4209
94604,34
90640,6481
96056,257
95924,24
95131,1236
92225,2057
95528,134
92357,48
92621,48
94603,3396
95660,3809
93546,242
94705,1261
95762,1824
96158,134
94044,3478
95366,1602
93252,254
92327,111
93648,880
91402,4149
95630,4760
94573,22
93516,378
92591,2100
90740,7524
95232,38
96157,17
92061,338
94043,1761
96025,496
95365,314
90212,1123
93251,5
95233,54
91401,3498
94704,783
93647,736
95629,116
94572,952
92590,296
93515,5
95497,144
90608,11
92593,10
94707,1368
93650,613
90743,13
96160,10
91932,2236
96028,316
94971,5
91007,3754
92064,4625
92065,3173
95368,832
93254,46
95236,415
96161,696
92329,250
95632,2628
93518,210
91404,5
90742,113
94706,1439
91931,50
96027,332
91006,3230
94970,70
95367,1814
92328,5
95631,715
94574,1097
91403,2477
93517,21
92592,3656
92595,2776
94709,496
93652,28
94577,5781
95634,409
90745,5556
91802,11
94973,103
91934,128
93256,453
91010,3518
92067,904
91406,3881
95370,4785
95765,1634
94708,1183
93651,156
95633,388
90744,3690
91801,5450
96029,10
94972,5
91008,42
93255,185
92066,16
95237,498
94576,13
93519,5
92330,8
95501,4353
91405,4098
95369,120
93654,2959
94579,2625
95636,131
96032,334
92861,651
95240,6320
92069,5193
96033,39
92201,5286
92333,77
95372,261
93258,228
94710,602
92596,788
93653,157
95635,112
94578,3896
90746,3178
91803,3425
92860,1936
91935,757
91011,2010
95503,3504
93257,7980
93656,546
95638,206
93920,75
99998,16672
92863,25
95110,1082
96035,428
92071,5337
93921,650
92203,1112
95374,204
93260,5
90221,3636
92335,6751
95242,3429
95637,10
94580,3043
93523,177
95901,4698
92070,197
96034,25
90220,5180
92334,5
92337,1392
94583,2506
95640,1036
93526,129
95112,3727
92866,1558
96037,35
91941,5522
93923,2798
91016,3988
95376,4311
95639,26
91411,2228
94582,484
95903,6
99999,24719
93657,3444
92865,1624
95111,3168
93922,7
93261,138
90222,3023
92336,3621
93528,7
92339,78
92603,539
93660,184
90621,2210
94585,2245
95642,1679
96039,193
92868,2086
93925,51
92075,1426
95246,282
93527,370
95377,865
92602,410
90620,4805
95641,412
92867,3366
96038,191
93924,744
91942,4746
93263,1656
95245,306
95113,175
92341,26
95380,4699
93266,123
95776,1055
93662,3029
94587,5242
90623,1320
93927,806
92870,4296
91945,3273
95248,117
91020,1003
95116,3280
96041,478
95511,11
95379,579
93265,570
92604,1941
95643,5
94586,103
93529,10
96040,34
93926,487
90755,584
92869,2880
93001,3203
95247,670
90094,158
93235,354
92310,87
93631,1772
95613,29
94556,1660
92707,3150
95746,1758
93103,1778
91914,392
96142,22
94028,829
90064,2911
95480,6
92309,39
95348,2043
93234,269
91384,1035
93630,1395
94555,1621
95612,175
94952,3917
92706,3017
91913,1387
94027,826
96009,32
90063,4118
95351,4466
90066,5261
95219,1972
93105,4588
95615,108
91387,1474
94558,9363
93501,728
91784,2280
92841,3017
94030,3261
91916,176
90065,3665
92179,79
95350,8868
92311,4429
95614,367
95482,4516
92708,6064
95747,4196
92840,4415
96143,168
91915,540
94954,4036
93239,101
92050,5
90068,2044
95221,156
96146,5
94560,2981
92314,1143
95485,399
93636,458
94561,2271
95618,699
91786,5379
92843,3194
94957,142
96014,10
93238,437
90067,722
95220,885
96145,204
92313,1361
94559,2809
95616,3426
93635,2925
91785,15
96013,814
94956,170
91917,96
95223,494
93109,1276
96148,32
90202,26
92316,2148
95355,6546
93241,1063
93638,4164
92581,44
95620,1454
94563,1880
96016,31
90731,5799
92845,1919
93240,1958
95222,654
93108,1706
90069,2396
90201,5102
92315,884
91390,883
95354,3226
93637,3338
95619,769
93505,1136
96015,5
92844,1469
93901,3659
93111,2435
96150,1824
