"ZipCode","Dominant"
"1001","White"
"1002","White"
"1013","White"
"1258","White"
"4348","White"
"31532","White"
"31533","White"
"31535","White"
"31537","White"
"31539","White"
"31542","White"
"31543","White"
"31544","Black"
"31545","White"
"31546","White"
"4349","White"
"31547","White"
"31548","White"
"31549","White"
"31550","White"
"31551","White"
"31552","White"
"31553","White"
"31554","White"
"31555","White"
"31556","White"
"4350","White"
"31557","White"
"31558","White"
"31560","White"
"31561","White"
"31562","White"
"31563","White"
"31565","White"
"31566","White"
"31567","White"
"31568","White"
"4351","White"
"31569","White"
"31601","Black"
"31602","White"
"31605","White"
"31606","White"
"31620","White"
"31622","White"
"31623","Black"
"31624","White"
"31625","White"
"4352","White"
"31626","White"
"31627","Black"
"31629","White"
"31630","Other"
"31631","White"
"31632","White"
"31634","White"
"31635","White"
"31636","White"
"31637","White"
"4353","White"
"31638","White"
"31639","White"
"31641","White"
"31642","White"
"31643","White"
"31645","White"
"31647","White"
"31648","White"
"31649","White"
"31650","White"
"4354","White"
"31698","Black"
"31699","White"
"31701","Black"
"31705","Black"
"31707","Black"
"31709","White"
"31711","White"
"31712","White"
"31714","Black"
"31716","White"
"4355","White"
"31719","Black"
"31720","White"
"31721","White"
"31722","White"
"31730","Black"
"31733","White"
"31735","White"
"31738","White"
"31743","Black"
"31744","White"
"4357","White"
"31747","White"
"31749","White"
"31750","White"
"31756","White"
"31757","White"
"31763","White"
"31764","White"
"31765","White"
"31768","White"
"31771","White"
"4358","White"
"31772","White"
"31773","White"
"31774","White"
"31775","White"
"31778","White"
"31779","White"
"31780","White"
"31781","White"
"31783","White"
"31784","White"
"1259","White"
"4359","White"
"31787","Black"
"31788","White"
"31789","White"
"31790","White"
"31791","White"
"31792","White"
"31793","White"
"31794","White"
"31795","White"
"31796","White"
"4360","White"
"31798","White"
"31801","White"
"31803","White"
"31804","White"
"31805","White"
"31806","White"
"31807","White"
"31808","White"
"31810","Black"
"31811","White"
"4363","White"
"31812","Black"
"31814","White"
"31815","Black"
"31816","White"
"31820","White"
"31821","Black"
"31822","White"
"31823","White"
"31824","Black"
"31825","Black"
"4364","White"
"31826","White"
"31827","Black"
"31829","White"
"31830","White"
"31831","White"
"31832","White"
"31833","White"
"31836","Black"
"31901","Black"
"31903","Black"
"4401","White"
"31904","White"
"31905","White"
"31906","Black"
"31907","Black"
"31909","White"
"32003","White"
"32008","White"
"32009","White"
"32011","White"
"32024","White"
"4406","White"
"32025","White"
"32026","Black"
"32033","White"
"32034","White"
"32038","White"
"32040","White"
"32043","White"
"32044","White"
"32046","White"
"32052","White"
"4408","White"
"32053","White"
"32054","White"
"32055","White"
"32058","White"
"32059","White"
"32060","White"
"32061","White"
"32062","White"
"32063","White"
"32064","White"
"4410","White"
"32065","White"
"32066","White"
"32068","White"
"32071","White"
"32072","White"
"32073","White"
"32079","White"
"32080","White"
"32081","White"
"32082","White"
"4411","White"
"32083","White"
"32084","White"
"32086","White"
"32087","White"
"32091","White"
"32092","White"
"32094","White"
"32095","White"
"32096","White"
"32097","White"
"4412","White"
"32102","White"
"32110","White"
"32112","White"
"32113","White"
