ZipCode,MedianAge
1001,E: 40-50
1002,C: 20-30
1013,D: 30-40
1258,G: 60-70
4348,E: 40-50
31532,D: 30-40
31533,D: 30-40
31535,D: 30-40
31537,E: 40-50
31539,D: 30-40
31542,D: 30-40
31543,D: 30-40
31544,F: 50-60
31545,D: 30-40
31546,E: 40-50
4349,E: 40-50
31547,C: 20-30
31548,D: 30-40
31549,E: 40-50
31550,E: 40-50
31551,E: 40-50
31552,D: 30-40
31553,E: 40-50
31554,D: 30-40
31555,E: 40-50
31556,A: 0-10
4350,E: 40-50
31557,E: 40-50
31558,C: 20-30
31560,D: 30-40
31561,G: 60-70
31562,D: 30-40
31563,E: 40-50
31565,E: 40-50
31566,D: 30-40
31567,E: 40-50
31568,F: 50-60
4351,E: 40-50
31569,E: 40-50
31601,C: 20-30
31602,C: 20-30
31605,C: 20-30
31606,D: 30-40
31620,D: 30-40
31622,D: 30-40
31623,F: 50-60
31624,E: 40-50
31625,E: 40-50
4352,E: 40-50
31626,E: 40-50
31627,D: 30-40
31629,E: 40-50
31630,C: 20-30
31631,E: 40-50
31632,D: 30-40
31634,D: 30-40
31635,D: 30-40
31636,D: 30-40
31637,E: 40-50
4353,E: 40-50
31638,D: 30-40
31639,E: 40-50
31641,D: 30-40
31642,D: 30-40
31643,E: 40-50
31645,D: 30-40
31647,D: 30-40
31648,D: 30-40
31649,D: 30-40
31650,D: 30-40
4354,E: 40-50
31698,B: 10-20
31699,C: 20-30
31701,D: 30-40
31705,D: 30-40
31707,D: 30-40
31709,D: 30-40
31711,E: 40-50
31712,F: 50-60
31714,D: 30-40
31716,D: 30-40
4355,E: 40-50
31719,D: 30-40
31720,D: 30-40
31721,D: 30-40
31722,E: 40-50
31730,D: 30-40
31733,E: 40-50
31735,D: 30-40
31738,D: 30-40
31743,D: 30-40
31744,D: 30-40
4357,E: 40-50
31747,G: 60-70
31749,D: 30-40
31750,D: 30-40
31756,E: 40-50
31757,D: 30-40
31763,D: 30-40
31764,E: 40-50
31765,E: 40-50
31768,D: 30-40
31771,D: 30-40
4358,E: 40-50
31772,E: 40-50
31773,E: 40-50
31774,D: 30-40
31775,D: 30-40
31778,E: 40-50
31779,D: 30-40
31780,E: 40-50
31781,E: 40-50
31783,E: 40-50
31784,D: 30-40
1259,F: 50-60
4359,E: 40-50
31787,E: 40-50
31788,D: 30-40
31789,E: 40-50
31790,D: 30-40
31791,D: 30-40
31792,D: 30-40
31793,C: 20-30
31794,D: 30-40
31795,D: 30-40
31796,F: 50-60
4360,F: 50-60
31798,E: 40-50
31801,E: 40-50
31803,D: 30-40
31804,E: 40-50
31805,E: 40-50
31806,D: 30-40
31807,D: 30-40
31808,E: 40-50
31810,F: 50-60
31811,E: 40-50
4363,E: 40-50
31812,F: 50-60
31814,E: 40-50
31815,D: 30-40
31816,D: 30-40
31820,D: 30-40
31821,D: 30-40
31822,E: 40-50
31823,C: 20-30
31824,D: 30-40
31825,E: 40-50
4364,E: 40-50
31826,E: 40-50
31827,E: 40-50
31829,E: 40-50
31830,D: 30-40
31831,E: 40-50
31832,E: 40-50
31833,D: 30-40
31836,F: 50-60
31901,D: 30-40
31903,D: 30-40
4401,D: 30-40
31904,D: 30-40
31905,C: 20-30
31906,D: 30-40
31907,D: 30-40
31909,D: 30-40
32003,E: 40-50
32008,E: 40-50
32009,D: 30-40
32011,E: 40-50
32024,D: 30-40
4406,E: 40-50
32025,D: 30-40
32026,D: 30-40
32033,E: 40-50
32034,F: 50-60
32038,E: 40-50
32040,D: 30-40
32043,E: 40-50
32044,E: 40-50
32046,D: 30-40
32052,D: 30-40
4408,E: 40-50
