ZipCode,MedianIncome
1001,D: 60-80k
1002,C: 40-60k
1013,C: 40-60k
1258,D: 60-80k
4348,C: 40-60k
4349,C: 40-60k
4350,C: 40-60k
4351,D: 60-80k
4352,C: 40-60k
4353,C: 40-60k
4354,C: 40-60k
4355,D: 60-80k
4357,C: 40-60k
4358,C: 40-60k
1259,D: 60-80k
4359,B: 20-40k
4360,C: 40-60k
4363,C: 40-60k
4364,D: 60-80k
4401,C: 40-60k
4406,C: 40-60k
4408,C: 40-60k
4410,C: 40-60k
4411,C: 40-60k
4412,C: 40-60k
1260,D: 60-80k
4413,C: 40-60k
4414,B: 20-40k
4415,B: 20-40k
4416,B: 20-40k
4417,B: 20-40k
4418,C: 40-60k
4419,C: 40-60k
4421,C: 40-60k
4422,C: 40-60k
4424,B: 20-40k
1262,C: 40-60k
4426,C: 40-60k
4427,C: 40-60k
4428,C: 40-60k
4429,C: 40-60k
4430,B: 20-40k
4431,C: 40-60k
4434,C: 40-60k
4435,B: 20-40k
4438,B: 20-40k
4441,C: 40-60k
1264,D: 60-80k
4443,B: 20-40k
4444,D: 60-80k
4448,B: 20-40k
4449,C: 40-60k
4450,C: 40-60k
4451,B: 20-40k
4453,C: 40-60k
4454,A: 0-20k
4455,C: 40-60k
1266,D: 60-80k
4456,C: 40-60k
4457,C: 40-60k
4459,B: 20-40k
4460,C: 40-60k
4461,C: 40-60k
4462,B: 20-40k
4463,B: 20-40k
4464,B: 20-40k
4468,B: 20-40k
1267,D: 60-80k
4471,B: 20-40k
4472,C: 40-60k
4473,C: 40-60k
4474,C: 40-60k
4475,B: 20-40k
4476,C: 40-60k
4478,B: 20-40k
4479,B: 20-40k
4481,C: 40-60k
4485,C: 40-60k
1270,D: 60-80k
4487,B: 20-40k
4488,C: 40-60k
4489,D: 60-80k
4490,B: 20-40k
4491,B: 20-40k
4492,B: 20-40k
4493,C: 40-60k
4495,B: 20-40k
4496,C: 40-60k
4497,B: 20-40k
1301,C: 40-60k
4530,C: 40-60k
4535,D: 60-80k
4537,C: 40-60k
4538,C: 40-60k
4539,C: 40-60k
4543,C: 40-60k
4544,C: 40-60k
4547,C: 40-60k
4548,C: 40-60k
1330,D: 60-80k
4551,D: 60-80k
4553,D: 60-80k
4554,C: 40-60k
4555,C: 40-60k
4556,C: 40-60k
4562,D: 60-80k
4563,C: 40-60k
4564,D: 60-80k
4568,C: 40-60k
1020,C: 40-60k
1331,C: 40-60k
4571,C: 40-60k
4572,C: 40-60k
4573,D: 60-80k
4574,C: 40-60k
4575,K: 220-240k
4576,C: 40-60k
4578,C: 40-60k
4579,D: 60-80k
4605,C: 40-60k
1337,D: 60-80k
4606,C: 40-60k
4607,C: 40-60k
4609,C: 40-60k
4611,B: 20-40k
4612,C: 40-60k
4613,C: 40-60k
4614,C: 40-60k
4616,C: 40-60k
4617,D: 60-80k
4619,B: 20-40k
1338,D: 60-80k
4622,C: 40-60k
4623,C: 40-60k
4624,B: 20-40k
4625,C: 40-60k
4626,C: 40-60k
4627,C: 40-60k
4628,C: 40-60k
4629,B: 20-40k
4630,C: 40-60k
4631,B: 20-40k
1339,C: 40-60k
4634,B: 20-40k
4635,D: 60-80k
4637,C: 40-60k
4640,C: 40-60k
4642,E: 80-100k
4643,C: 40-60k
4645,C: 40-60k
4646,D: 60-80k
4648,B: 20-40k
1340,C: 40-60k
4649,B: 20-40k
4650,C: 40-60k
4652,B: 20-40k
4653,B: 20-40k
4654,B: 20-40k
4655,C: 40-60k
4657,C: 40-60k
4658,B: 20-40k
4660,D: 60-80k
4662,C: 40-60k
1341,D: 60-80k
4664,C: 40-60k
4666,B: 20-40k
4667,B: 20-40k
4668,B: 20-40k
4669,C: 40-60k
4671,C: 40-60k
4673,B: 20-40k
4674,C: 40-60k
4675,E: 80-100k
4676,B: 20-40k
1342,F: 100-120k
4677,C: 40-60k
4679,C: 40-60k
4680,B: 20-40k
4681,C: 40-60k
4684,C: 40-60k
4685,C: 40-60k
4686,B: 20-40k
4691,C: 40-60k
4693,B: 20-40k
1343,E: 80-100k
4694,C: 40-60k
4730,B: 20-40k
4732,B: 20-40k
4733,C: 40-60k
4734,C: 40-60k
4735,B: 20-40k
4736,B: 20-40k
4739,B: 20-40k
4740,B: 20-40k
1344,C: 40-60k
4742,B: 20-40k
4743,B: 20-40k
4745,C: 40-60k
4746,B: 20-40k
4747,B: 20-40k
4750,B: 20-40k
4756,B: 20-40k
4757,C: 40-60k
4758,B: 20-40k
4760,B: 20-40k
1346,C: 40-60k
4761,C: 40-60k
4762,C: 40-60k
4763,B: 20-40k
4764,B: 20-40k
4765,B: 20-40k
4766,C: 40-60k
4768,C: 40-60k
4769,B: 20-40k
4772,B: 20-40k
1022,C: 40-60k
1347,B: 20-40k
4774,B: 20-40k
4776,B: 20-40k
4777,B: 20-40k
4779,C: 40-60k
4780,C: 40-60k
4781,B: 20-40k
4783,C: 40-60k
4785,B: 20-40k
4786,C: 40-60k
4787,B: 20-40k
1349,D: 60-80k
4841,B: 20-40k
4843,C: 40-60k
4847,C: 40-60k
4848,C: 40-60k
4849,C: 40-60k
4852,C: 40-60k
4853,C: 40-60k
4854,C: 40-60k
4855,D: 60-80k
1350,B: 20-40k
4856,C: 40-60k
4858,C: 40-60k
4859,C: 40-60k
4860,C: 40-60k
4861,C: 40-60k
4862,C: 40-60k
4863,D: 60-80k
4864,C: 40-60k
4901,B: 20-40k
4910,C: 40-60k
1351,D: 60-80k
4911,B: 20-40k
4912,B: 20-40k
4915,B: 20-40k
4917,D: 60-80k
4918,B: 20-40k
4920,B: 20-40k
4921,B: 20-40k
4922,B: 20-40k
4923,B: 20-40k
4924,C: 40-60k
1354,D: 60-80k
4925,C: 40-60k
4927,C: 40-60k
4928,C: 40-60k
4929,B: 20-40k
4930,B: 20-40k
4932,C: 40-60k
4936,C: 40-60k
4937,C: 40-60k
1355,D: 60-80k
4938,B: 20-40k
4939,B: 20-40k
4941,C: 40-60k
4942,B: 20-40k
4943,B: 20-40k
4945,C: 40-60k
4947,C: 40-60k
4949,B: 20-40k
1360,D: 60-80k
4950,B: 20-40k
4951,C: 40-60k
4952,C: 40-60k
4953,B: 20-40k
4955,C: 40-60k
4956,C: 40-60k
4957,C: 40-60k
4958,C: 40-60k
4961,B: 20-40k
4962,D: 60-80k
1364,B: 20-40k
4963,C: 40-60k
4964,C: 40-60k
4965,C: 40-60k
4966,B: 20-40k
4967,C: 40-60k
4969,C: 40-60k
4970,C: 40-60k
4971,C: 40-60k
4973,C: 40-60k
4974,B: 20-40k
1366,D: 60-80k
4976,B: 20-40k
4978,C: 40-60k
4979,C: 40-60k
4981,C: 40-60k
4982,B: 20-40k
4983,B: 20-40k
4984,B: 20-40k
4986,C: 40-60k
1367,C: 40-60k
4987,B: 20-40k
4988,C: 40-60k
4989,C: 40-60k
5001,C: 40-60k
5031,C: 40-60k
5032,C: 40-60k
5033,C: 40-60k
5034,E: 80-100k
5035,C: 40-60k
1026,C: 40-60k
1368,C: 40-60k
5036,D: 60-80k
5037,E: 80-100k
5038,C: 40-60k
5039,C: 40-60k
5040,D: 60-80k
5041,C: 40-60k
5042,C: 40-60k
5043,C: 40-60k
5045,D: 60-80k
5046,C: 40-60k
1370,C: 40-60k
5048,C: 40-60k
5051,C: 40-60k
5052,C: 40-60k
5053,E: 80-100k
5055,E: 80-100k
